iter	Passed	Remaining
0	142	142800
1	143	71586
2	143	47828
3	144	35944
4	144	28814
5	145	24063
6	145	20671
7	146	18124
8	146	16145
9	147	14566
10	147	13276
11	148	12201
12	148	11286
13	149	10502
14	149	9824
15	150	9232
16	150	8708
17	151	8242
18	151	7826
19	152	7450
20	152	7110
21	152	6801
22	153	6518
23	153	6258
24	154	6019
25	154	5800
26	155	5596
27	155	5410
28	156	5235
29	156	5070
30	157	4915
31	157	4771
32	158	4635
33	158	4508
34	159	4387
35	159	4274
36	160	4169
37	160	4069
38	161	3973
39	161	3881
40	162	3793
41	162	3711
42	163	3632
43	163	3557
44	164	3485
45	164	3415
46	165	3348
47	165	3284
48	166	3223
49	166	3165
50	167	3110
51	167	3056
52	168	3004
53	168	2953
54	169	2904
55	169	2857
56	169	2811
57	170	2768
58	171	2728
59	171	2689
60	172	2651
61	172	2614
62	173	2579
63	174	2544
64	174	2511
65	175	2479
66	175	2449
67	176	2414
68	176	2385
69	177	2356
70	177	2328
71	178	2301
72	179	2274
73	179	2247
74	180	2221
75	180	2195
76	181	2170
77	181	2145
78	182	2122
79	182	2098
80	182	2075
81	183	2052
82	183	2031
83	184	2011
84	184	1988
85	185	1969
86	185	1947
87	186	1928
88	186	1909
89	186	1890
90	187	1872
91	187	1854
92	188	1836
93	188	1819
94	189	1802
95	189	1786
96	190	1770
97	190	1755
98	191	1740
99	191	1725
100	192	1710
101	192	1693
102	192	1679
103	193	1665
104	193	1651
105	194	1637
106	194	1624
107	195	1611
108	195	1598
109	196	1586
110	196	1573
111	197	1562
112	197	1550
113	198	1538
114	198	1527
115	198	1515
116	199	1503
117	199	1492
118	200	1480
119	200	1469
120	200	1459
121	201	1448
122	201	1436
123	201	1426
124	202	1416
125	202	1407
126	203	1397
127	203	1387
128	204	1378
129	204	1368
130	204	1359
131	205	1351
132	205	1342
133	206	1333
134	206	1325
135	207	1317
136	207	1309
137	208	1300
138	208	1292
139	209	1285
140	209	1278
141	210	1271
142	211	1264
143	211	1257
144	211	1249
145	212	1242
146	212	1234
147	213	1227
148	213	1220
149	214	1213
150	214	1206
151	214	1199
152	215	1192
